Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD4Tconv	CD4Tconv	LINC00861	0.42	22.1	0
0	Immune cells	CD4Tconv	CD4Tconv	CMTM7	0.42	36.2	0
0	Immune cells	CD4Tconv	CD4Tconv	CIB1	0.41	76.9	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL26	0.41	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	LCP1	0.41	71.5	0
0	Immune cells	CD4Tconv	CD4Tconv	EVI2A	0.41	32.2	0
0	Immune cells	CD4Tconv	CD4Tconv	SLC38A1	0.41	47.7	0
0	Immune cells	CD4Tconv	CD4Tconv	CARD16	0.41	46.2	0
0	Immune cells	CD4Tconv	CD4Tconv	GPBP1	0.41	63.0	0
0	Immune cells	CD4Tconv	CD4Tconv	BCL11B	0.41	26.4	0
0	Immune cells	CD4Tconv	CD4Tconv	FNBP1	0.41	53.1	0
0	Immune cells	CD4Tconv	CD4Tconv	HCST	0.41	68.0	0
0	Immune cells	CD4Tconv	CD4Tconv	DENND2D	0.41	31.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL36	0.41	99.8	0
0	Immune cells	CD4Tconv	CD4Tconv	SH3KBP1	0.41	47.6	0
0	Immune cells	CD4Tconv	CD4Tconv	CD40LG	0.41	15.9	0
0	Immune cells	CD4Tconv	CD4Tconv	MAL	0.41	20.4	0
0	Immune cells	CD4Tconv	CD4Tconv	GIMAP1	0.41	26.2	0
0	Immune cells	CD4Tconv	CD4Tconv	IL10RA	0.41	39.4	0
0	Immune cells	CD4Tconv	CD4Tconv	KIAA1551	0.41	41.8	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS23	0.4	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	CXCR3	0.4	26.2	0
0	Immune cells	CD4Tconv	CD4Tconv	TBC1D10C	0.4	39.2	0
0	Immune cells	CD4Tconv	CD4Tconv	RNF213	0.4	58.8	0
0	Immune cells	CD4Tconv	CD4Tconv	NOP58	0.4	58.4	0
0	Immune cells	CD4Tconv	CD4Tconv	JAK1	0.4	71.4	0
0	Immune cells	CD4Tconv	CD4Tconv	RCAN3	0.4	30.9	0
0	Immune cells	CD4Tconv	CD4Tconv	TOMM7	0.4	89.5	0
0	Immune cells	CD4Tconv	CD4Tconv	RPLP1	0.4	100.0	0
