X.Start	End	Type	Subtype	Weight
1124	4986	2793	PPREL	BINDING_ASSOCIATION	0
1125	4986	2771	PPREL	BINDING_ASSOCIATION	0
1126	4986	2770	PPREL	BINDING_ASSOCIATION	0
1127	4986	2792	PPREL	BINDING_ASSOCIATION	0
1128	4986	2791	PPREL	BINDING_ASSOCIATION	0
1129	4986	2790	PPREL	BINDING_ASSOCIATION	0
1131	4986	2788	PPREL	BINDING_ASSOCIATION	0
1132	4986	2787	PPREL	BINDING_ASSOCIATION	0
1133	4986	2786	PPREL	BINDING_ASSOCIATION	0
1134	4986	2785	PPREL	BINDING_ASSOCIATION	0
1135	4986	59345	PPREL	BINDING_ASSOCIATION	0
1136	4986	2784	PPREL	BINDING_ASSOCIATION	0
1137	4986	2783	PPREL	BINDING_ASSOCIATION	0
1138	4986	51764	PPREL	BINDING_ASSOCIATION	0
1139	4986	5173	PPREL	BINDING_ASSOCIATION	0
1142	4986	5179	PPREL	BINDING_ASSOCIATION	0
1143	4986	2782	PPREL	BINDING_ASSOCIATION	0
1146	4986	2773	PPREL	BINDING_ASSOCIATION	0
1151	3655	3691	PPREL	BINDING_ASSOCIATION	0
1152	3655	1399	PPREL	ACTIVATION	1
1153	3655	1398	PPREL	ACTIVATION	1
1160	4987	2793	PPREL	BINDING_ASSOCIATION	0
1161	4987	2771	PPREL	BINDING_ASSOCIATION	0
1162	4987	2782	PPREL	BINDING_ASSOCIATION	0
1163	4987	2770	PPREL	BINDING_ASSOCIATION	0
1164	4987	2792	PPREL	BINDING_ASSOCIATION	0
1165	4987	2791	PPREL	BINDING_ASSOCIATION	0
1166	4987	2790	PPREL	BINDING_ASSOCIATION	0
1169	4987	2788	PPREL	BINDING_ASSOCIATION	0
1170	4987	2787	PPREL	BINDING_ASSOCIATION	0
1171	4987	2786	PPREL	BINDING_ASSOCIATION	0
1173	4987	2785	PPREL	BINDING_ASSOCIATION	0
1174	4987	59345	PPREL	BINDING_ASSOCIATION	0
1175	4987	2773	PPREL	BINDING_ASSOCIATION	0
1176	4987	2784	PPREL	BINDING_ASSOCIATION	0
1177	4987	2783	PPREL	BINDING_ASSOCIATION	0
1179	4987	51764	PPREL	BINDING_ASSOCIATION	0
1185	3656	23643	PPREL	BINDING_ASSOCIATION	0
1190	3656	10333	PPREL	BINDING_ASSOCIATION	0
1194	3656	3551	PPREL	ACTIVATION	1
1200	3656	1147	PPREL	ACTIVATION	1
1208	4988	2793	PPREL	ACTIVATION	1
1209	4988	2771	PPREL	ACTIVATION	1
1210	4988	2792	PPREL	ACTIVATION	1
1211	4988	2770	PPREL	ACTIVATION	1
1212	4988	2791	PPREL	ACTIVATION	1
1213	4988	2790	PPREL	ACTIVATION	1
1214	4988	2767	PPREL	ACTIVATION	1
1216	4988	2788	PPREL	ACTIVATION	1
1217	4988	2787	PPREL	ACTIVATION	1
1218	4988	2786	PPREL	ACTIVATION	1
1219	4988	2785	PPREL	ACTIVATION	1
1220	4988	59345	PPREL	ACTIVATION	1
1221	4988	2784	PPREL	ACTIVATION	1
1222	4988	2783	PPREL	ACTIVATION	1
1223	4988	51764	PPREL	ACTIVATION	1
1224	4988	2769	PPREL	ACTIVATION	1
1225	4988	5173	PPREL	BINDING_ASSOCIATION	0
1229	4988	5179	PPREL	BINDING_ASSOCIATION	0
1230	4988	2782	PPREL	ACTIVATION	1
1232	4988	2776	PPREL	ACTIVATION	1
1234	4988	2775	PPREL	ACTIVATION	1
1235	4988	2773	PPREL	ACTIVATION	1
1244	3659	3442	PPREL	ACTIVATION	1
1245	3659	3452	PPREL	ACTIVATION	1
1246	3659	3441	PPREL	ACTIVATION	1
1247	3659	3440	PPREL	ACTIVATION	1
1248	3659	3451	PPREL	ACTIVATION	1
1249	3659	3593	GEREL	REPRESSION	-1
1251	3659	3592	GEREL	REPRESSION	-1
1254	3659	3439	PPREL	ACTIVATION	1
1255	3659	3449	PPREL	ACTIVATION	1
1256	3659	3448	PPREL	ACTIVATION	1
1257	3659	3447	PPREL	ACTIVATION	1
1258	3659	3446	PPREL	ACTIVATION	1
1259	3659	3456	PPREL	ACTIVATION	1
1260	3659	3456	GEREL	EXPRESSION	1
1261	3659	3445	PPREL	ACTIVATION	1
1262	3659	3444	PPREL	ACTIVATION	1
1263	3659	3443	PPREL	ACTIVATION	1
1267	3670	2695	PPREL	ACTIVATION	1
1270	3672	10174	PPREL	BINDING_ASSOCIATION	0
1276	3672	25802	PPREL	BINDING_ASSOCIATION	0
1277	3672	1305	PPREL	BINDING_ASSOCIATION	0
1278	3672	1399	PPREL	ACTIVATION	1
1279	3672	1398	PPREL	ACTIVATION	1
1285	3672	1307	PPREL	BINDING_ASSOCIATION	0
1299	3673	1399	PPREL	ACTIVATION	1
1300	3673	1398	PPREL	ACTIVATION	1
1301	3673	375790	PPREL	BINDING_ASSOCIATION	0
1307	3673	1307	PPREL	BINDING_ASSOCIATION	0
1309	2342	4893	PPREL	INHIBITION	0
1310	2342	4893	PPREL	ACTIVATION	0
1311	2342	2792	PPREL	ACTIVATION	1
1317	2342	3845	PPREL	INHIBITION	0
1318	2342	3845	PPREL	ACTIVATION	0
